,0,1,2,3,4,5
0,2684 ,,-->,Career & Job,-->,"['goa fight', 'much awaited match', 'take place', 'scoring list', 'goa fc', 'best fight']"
1,4238 ,Vehicles & Parts,-->,Career & Job,-->,"['us comes', 'resentment ...', 'four things']"
2,2496 ,Vehicles & Parts,-->,Career & Job,-->,"['aerindia needs privatization', 'privatize air india', 'air india', 'rs 80', '000 crore']"
3,212 ,Vehicles & Parts,-->,Career & Job,-->,"['make people think', 'tamil cinema', 'new year', 'hosur ...', 'first day']"
4,1675 ,Vehicles & Parts,-->,Career & Job,-->,"['ofb recruitment 2020', '6060 vacancies released', 'iti aspirants', 'various posts released', 'ordnance factory board', 'ofb recruitment 2020', 'invited application form', '6060 vacancies released', 'iti aspirants']"
5,5002 ,Vehicles & Parts,-->,Career & Job,-->,"['small business', 'ramlila maidan', 'traders ’ fair', 'mediumsize business ...', 'ramlila maidan', 'new delhi', 'help small', 'december 25']"
6,2260 ,Vehicles & Parts,-->,Career & Job,-->,"['present better statistics', 'rjd challenged', 'poster allegedly pasted', 'nda government', 'income tax', '15 years']"
7,5561 ,Vehicles & Parts,-->,Career & Job,-->,"['suman sharma award', 'ditto resources', 'telangana capital', 'held recently', 'declared ...']"
8,3272 ,Vehicles & Parts,-->,Career & Job,-->,"['new industrial investment', 'time digital desk', 'last two months', 'thursday ...', 'gst collection', 'early signs', 'domestic market', 'car sales']"
9,6138 ,Vehicles & Parts,-->,Career & Job,-->,"['book series', 'teaching cooperatives', 'oncologist institute', 'new instruction', 'international kitchen']"
10,5003 ,,-->,Career & Job,-->,"['nagila yogi', 'image offering', 'image 2020', 'nagila yogi', 'four lakhs', '300 artists']"
11,4239 ,Vehicles & Parts,-->,Career & Job,-->,"['love blossoms', 'washed ashore', 'two travellers', 'lonely island']"
12,5562 ,Vehicles & Parts,-->,Career & Job,-->,"['us threatens flights', 'pak ..', 'pakistani aircraft', 'march 23', 'issued warnings']"
13,4636 ,,-->,Career & Job,-->,"['wild animals', 'south africa', 'old kristen', 'kristen sleeps', 'falls asleep', 'chris ...']"
14,641 ,Vehicles & Parts,-->,Career & Job,-->,"['real reason', 'film academy', 'film academy', 'comprehensive blueprint']"
15,5971 ,Vehicles & Parts,-->,Career & Job,-->,"['asha activists protest', 'many demands', 'demanding fulfillment', 'bangalore today', 'asha activists arrived', 'morning ...', 'many districts', 'many demands', 'freedom park']"
16,2685 ,Vehicles & Parts,-->,Career & Job,-->,"['rare letters written', 'savitribai phule', 'written various letters', 'husband jyotiba phule', 'savitribai phule', 'start women', 'sandhya nare', 'pawar today', 'know savitribai', 'first teacher']"
17,443 ,Vehicles & Parts,-->,Career & Job,-->,"['trinamool mps', 'caa posters', 'trinamool mps', 'caa posters']"
18,5972 ,Vehicles & Parts,-->,Career & Job,-->,"['expensive ... video', 'tirupathi latu', 'vaikunda ekadasi subsidy', 'tirupati ezumalayan temple', 'longer pay rs', 'lattu offerings']"
19,6908 ,Vehicles & Parts,-->,Career & Job,-->,"['de de toh', 'bigg boss 13', ""mistake ?'"", 'two cents', 'often shares', 'issues regarding', 'gauahar khan']"
20,4240 ,Vehicles & Parts,-->,Career & Job,-->,"['end strike', 'thursday night', 'action council']"
21,6339 ,,-->,Career & Job,-->,"['nrega workers', 'introducing wa ...', 'pay slips', 'mgnrega workers', 'mgnrega department']"
22,5563 ,Vehicles & Parts,-->,Career & Job,-->,"['visit india', 'prime minister', 'two countries ...', 'japan shinzo abe', 'visit india', 'security treaty', 'prime minister', '17th december']"
23,3273 ,Vehicles & Parts,-->,Career & Job,-->,"['including boyfriend …', '2 killed', 'shocking incident', 'kanyakumari district', 'building contractor', 'boyfriend killed']"
24,5973 ,Vehicles & Parts,-->,Career & Job,-->,"['iphone photography award', 'srikumar krishnan based', 'ipp awards website', 'based photographer tops', 'sunset category', 'apple photography']"
25,857 ,Vehicles & Parts,-->,Career & Job,-->,"['sbi looks', 'divest 1', 'rs 50 ...', 'national stock exchange', '50 lakh shares', 'sought bids', 'nse ).', 'eligible entities']"
26,5187 ,Vehicles & Parts,-->,Career & Job,-->,"['bani hai durga', 'official trailer', 'starring manoj bakshi', 'rizwan khan', 'rizwan denial', 'official trailer', 'kno ...', 'hindi movie']"
