,title,link,description,long_description,id,keyword_set
1,whole odisha trembling severe winters yellow warning issued districts meteorological department snowfall koida daringbadi,https://www.newspointapp.com/odia-news/publisher-kanaknews-odia/top-news/articleshow/145048207eb97f903061bbd718a8a970ef3652c3,kanak bureau whole odisha trembling cold mercury dropped degrees normal next two days cold yellow warnings issued odisha districts district administration,,2674 ,"['yellow warning issued', 'severe winters', 'next two days', 'district administration ...', 'yellow warnings', 'kanak bureau', '13 districts']"
2,sandeepan vimalkant nagar struggling combative cultural worker,https://navbharattimes.indiatimes.com/metro/lucknow/other-news/sandeepan-vimalkant-nagar-was-a-struggling-and-combative-cultural-worker/articleshow/73022935.cms,sandipan awakened play consciousness direction artists said senior painter actor rakesh pandey mathura painter braj speaking,b sandipan awakened play consciousness giving direction artists said senior painter actor rakesh pandey mathura color worker braj speaking,3874 ,"['sandeepan vimalkant nagar', 'combative cultural worker', 'b sandipan awakened', 'actor rakesh pandey', 'speaking ...', 'senior painter', 'mathura painter']"
3,dp rambhrosse,https://maharashtratimes.indiatimes.com/citizen-reporter/aurangabad-local-news/dp-ramvaroshe/articleshow/73023325.cms,,,425 ,['dp rambhrosse']
4,whipping nationalism shelf life kamal nath,https://www.newspointapp.com/english-news/publisher-toi/india/whipping-up-nationalism-has-shelf-life-kamal-nath/articleshow/145048200cb2346c5a0d8d7fbe44ecb65284d51c,bhopal widespread protests caa proof indian voters especially youth taken ride longer believes madhya pradesh chief minister kamal nath exclu,bhopal widespread protests caa proof indian voters especially youth taken ride longer believes madhya pradesh chief minister kamal nath exclusive interview toi completion year government nath accused bjp led centre bringing caa nrc divert youth attention economic crisis gripping country economy distress government instead addressing economic crisis sh,5177 ,"['shelf life', 'kamal nath', 'widespread protests', 'indian voters', 'exclu ...']"
5,mulayam singh admitted hospital,https://www.seithisolai.com/mulayam-singh-admitted-in-hospital.php,samajwadi party founder mulayam singh admitted private hospital mumbai due stomach problem samajwadi party founder mulayam singh abruptly,samajwadi party founder mulayam singh admitted private hospital mumbai due stomach problem samajwadi party founder mulayam singh abruptly,3260 ,"['mulayam singh admitted', 'stomach problem', 'private hospital', 'mumbai due', 'abruptly ...']"
6,new technology center chennai union minister laid foundation stone,https://tamil.webdunia.com/article/regional-tamil-news/central-minister-put-stone-for-new-battery-manufacturing-building-in-chennai-119123000004_1.html,union minister state creation new technology center chennai promote battery powered vehicle manufacturing use vehicles suit population country,union minister state establishment new technology center chennai promote battery powered vehicle manufacturing use vehicles suit population country,1867 ,"['new technology center', 'union minister', 'foundation stone', 'powered vehicle manufacturing', 'new technology center', 'union minister', 'promote battery', 'country ...']"
7,cancellation pan card linked aadhaar,https://www.newspointapp.com/telugu-news/publisher-webdunia-telugu/top-news/articleshow/1450482007046259cf0a35c4c54156d3cd66c1fe,pancard canceled within three days dont surprised link pan card aadhaar pan card canceled days,pancard canceled within three days dont surprised link pan card aadhaar pan card canceled days expire,4988 ,"['pan card', 'pan card', 'days ...']"
8,kids stories, Nursery Rhymes & Baby Songs - 'Krishna And Kaliya ,sri krishna kids nursery story tamil,https timesofindia indiatimes com videos entertainment kids tamil kids stories nursery rhymes baby songs krishna kaliya sri krishna kids nursery story tamil videoshow cms,"""Here's Presenting popular Children Nursery Story 'Krishna And Kaliya ",['kids stories']
9,tottenham willing offer christian eriksen real madrid swap deal epl transfer news roundup th december,https://www.newspointapp.com/english-news/publisher-sportskeeda/top-news/tottenham-willing-offer-christian-eriksen-real-madrid-swap-deal-more-epl-transfer-news-roundup-30th-december-2019/articleshow/14504820cbdd450bc9083874f53f83d52aeb1ece,norwich city tottenham hotspur premier league hello welcome epl transfer news roundup day top stories day surrounding erling braut haaland joins dortm,norwich city tottenham hotspur premier league hello welcome epl transfer news roundup day top stories day surrounding erling braut haaland joins dortmund borussia dortmund confirmed signing erling braut haaland red bull salzburg youngster linked move manchester united chose join german outfit instead upon joining ruhr outfit haaland thanked salzburg learned austri,2675 ,"['offer christian eriksen', '30th december 2019', 'tottenham willing', 'swap deal', 'real madrid', 'premier league hello', 'top stories', 'day surrounding']"
10,good news reliance jiofiber users gb data available,https://navbharattimes.indiatimes.com/tech/gadgets-news/reliance-jio-rupees-199-top-up-voucher-offering-1tb-data-with-7-days-of-validity/articleshow/73024124.cms,new delhi good news reliance jiofiber users company offering tb gb data rs top voucher earlier gb data available plan validity plan,new delhi good news reliance jiofiber users company offering tb gb data rs top voucher earlier gb data available plan plans validity,2058 ,"['reliance jiofiber users', '₹ 199', 'good news', '1000gb data', 'rs 199 top', 'reliance jiofiber users', 'plan ...', 'offering 1tb', 'new delhi', 'good news', '100gb data']"
